osm_id,OCC_TYPE
295031128,residential
295031816,residential
295034182,retail_food
295034183,industrial
295034184,retail_food
295034187,retail_food
295034314,residential
295035657,retail_food
295035659,retail_food
295035660,retail_food
295038232,office
295038233,residential
295038234,residential
295176527,civic_transit
295176528,civic_transit
295176529,residential
295176530,residential
295176533,retail_food
295176534,residential
295176535,residential
295176536,civic_transit
295176537,residential
295176629,residential
295176630,residential
295176632,residential
295176633,residential
295176635,retail_food
295176636,education
295176640,residential
295176760,retail_food
295176825,education
295176826,education
295176831,education
295177768,residential
295177770,office
295177771,retail_food
295177772,retail_food
295177774,residential
295177775,residential
295177776,residential
295177777,residential
295177778,residential
295177779,residential
295177780,residential
295177977,education
295177978,residential
295177980,education
295177981,education
295177982,residential
295177983,residential
295177984,residential
295177985,residential
295177986,residential
295177987,education
295177989,residential
295178314,residential
295178315,retail_food
295178316,retail_food
295178317,residential
295178318,residential
295178319,retail_food
295178321,industrial
295178326,residential
295180472,healthcare
295180473,healthcare
295180474,residential
295180475,healthcare
295180476,retail_food
295180477,residential
295180478,office
295180479,office
295180480,retail_food
295180481,retail_food
295180483,residential
295180831,industrial
295576581,retail_food
296922314,retail_food
296922315,office
296922316,residential
296922317,residential
296922320,residential
296922323,residential
297217134,office
297217135,office
297798880,residential
297798881,residential
297798882,residential
297798883,residential
297798884,residential
297798885,residential
297798886,residential
297798887,residential
297798889,residential
297798890,residential
297798891,residential
297798892,residential
297798893,residential
297798894,residential
297798895,residential
297798896,residential
297798897,residential
297798898,residential
297798899,residential
297798900,residential
297799834,residential
297799843,residential
297799844,office
297799846,office
297799847,retail_food
297799848,retail_food
297799849,retail_food
297799850,retail_food
297799851,retail_food
297801820,office
297801821,residential
297801823,office
297801825,office
297807742,residential
297807743,residential
297807744,residential
297807746,office
297807747,office
297807748,residential
297807749,residential
297807750,retail_food
297807752,retail_food
297807753,retail_food
297807754,office
297807755,office
297807756,industrial
297807757,industrial
297807758,retail_food
297807759,industrial
297808440,office
297808441,residential
297808444,office
297808446,office
297808447,office
297808449,office
297808452,retail_food
297810246,residential
297810247,education
297810249,residential
297811348,office
297811349,residential
297820806,office
297820807,office
297820808,office
297820810,office
297820811,office
297820812,residential
297994518,other
297994519,other
297996560,industrial
298013446,retail_food
298013455,residential
298013456,residential
298013457,residential
298013458,residential
298013459,residential
298013465,retail_food
298013466,residential
298013467,retail_food
298013999,residential
298014000,residential
298016081,industrial
298238503,retail_food
298238505,residential
298239134,residential
298239135,residential
298239141,office
298239142,office
298239143,office
298240484,retail_food
298240501,religious
298240502,residential
298240503,residential
298240504,residential
298240507,office
298240508,education
298240513,office
298240514,residential
298240515,residential
298240516,residential
298242357,retail_food
298242358,civic_transit
298242360,office
298242361,education
298242362,office
298242369,residential
298242370,residential
298242372,residential
298242373,residential
298242374,residential
298242375,education
298242376,residential
298242392,retail_food
298242393,residential
298242394,residential
298242928,residential
298243985,civic_transit
298243986,residential
298243989,religious
298243993,residential
298243997,industrial
298244000,residential
298244007,residential
298244009,retail_food
298244020,retail_food
298244021,office
298244352,retail_food
298244432,office
298244441,residential
298244443,residential
298244454,residential
298244709,residential
298245329,office
298245330,office
298245331,education
298245332,education
298245336,residential
298245337,residential
298349405,residential
298349414,office
298349418,education
298349419,education
298349421,office
298349422,office
298349430,residential
298350675,office
298367713,residential
298367715,residential
298367722,retail_food
298367739,retail_food
298367741,office
298367742,retail_food
298367746,retail_food
298367750,office
298367751,residential
298367763,civic_transit
298367764,residential
298385684,residential
298385690,residential
298385696,residential
298385698,residential
298385699,retail_food
298385704,retail_food
298385708,office
298385711,residential
298385717,residential
298385719,retail_food
298385720,residential
298385722,retail_food
298385723,residential
298385725,religious
298392893,retail_food
298392898,office
298392901,retail_food
298392903,residential
298392904,retail_food
298392906,office
298392908,office
298417957,residential
298417959,residential
298417961,residential
298417962,residential
298417965,residential
298417967,religious
298417968,religious
298417971,retail_food
298417974,religious
298417983,industrial
298418001,healthcare
298418002,healthcare
298418003,healthcare
298418005,education
298418006,education
298418007,education
298418008,education
298418011,education
298418012,education
298418014,education
298420387,education
298420388,education
298420389,education
298420392,education
298420397,education
298420398,education
298420404,education
298420405,education
298420406,residential
298420407,education
298420408,education
